doc_id,genre,strategy,num_chunks,avg_chunk_sentences,mean_isd,mean_ibi,document_gpc,document_cma,document_cdf
1901.05287,scientific,Fixed-256,6,10.5,0.32732480942892533,0.10327498614788055,0.4375286437773614,0.8190235197544098,0.705315438305282
1901.05287,scientific,Fixed-512,4,16.75,0.4599608473945409,0.11085733771324158,0.4627387735601495,0.8275723904371262,0.7510384842269089
1901.05287,scientific,Recursive-256,9,6.888888888888889,0.32015046454034746,0.1373052332136366,0.4500860822132029,0.8301761547724406,0.6411301282920676
1901.05287,scientific,Semantic-75,17,3.6470588235294117,0.7522937679074376,0.32649072478799257,0.6275203026761416,0.8282213947352242,0.5590758212563831
1901.05287,scientific,RandomMatched,6,10.333333333333334,0.44356737472116947,0.15421295166015625,0.48180589879785096,0.8375060160954794,0.6703115437091379
1901.05287,scientific,ShuffledNull,6,10.333333333333334,0.27659092562195536,0.1377458224693934,0.4362531400278734,0.8001915017763773,0.6933425414025419
1612.06685,scientific,GoldSection,9,6.666666666666667,0.42499113605461186,0.2251567410098182,0.5087887838209274,0.8943564958042569,0.6208081018485808
1612.06685,scientific,Fixed-128,11,5.454545454545454,0.4005201934752139,0.190240201624957,0.48527792913550194,0.8602970567616549,0.6074721091955625
1612.06685,scientific,Fixed-256,6,10.5,0.30151083149636787,0.1335927645365397,0.44313957987101316,0.9162834485371908,0.6946613949971306
1612.06685,scientific,Fixed-512,3,21.333333333333332,0.2684314080203573,0.12204585472742717,0.4286471503935634,0.9442662596702576,0.8051469906786638
1612.06685,scientific,Recursive-256,11,5.454545454545454,0.4700604281388223,0.22779016332192856,0.5172824622469223,0.8705881996588274,0.5970611342614521
1612.06685,scientific,Semantic-75,16,3.75,0.5806312136846827,0.2679738253355026,0.5634428531982119,0.8360058926045895,0.5567840490188529
1612.06685,scientific,RandomMatched,9,6.666666666666667,0.3525333043394817,0.18686840600437588,0.4704555750712138,0.8673548036151462,0.6233950715530467
1612.06685,scientific,ShuffledNull,9,6.666666666666667,0.31926566636603737,0.20766721169153848,0.46081946891426134,0.7522738244798448,0.6230199253231435
1912.04961,scientific,GoldSection,16,10.625,0.32853097510087537,0.16543084755539894,0.4623332555326233,0.7890329621732235,0.6455806814964988
1912.04961,scientific,Fixed-128,33,5.181818181818182,0.3502478142141957,0.16938983671592944,0.47038710490236996,0.7636708364342198,0.6125103201381022
1912.04961,scientific,Fixed-256,18,9.722222222222221,0.3035224271265583,0.1481732212834888,0.44900878624073876,0.792121602429284,0.6493396118455106
1912.04961,scientific,Fixed-512,10,18.0,0.27406605556607244,0.10988301038742065,0.4254703499794777,0.8095171988010407,0.7152557215437264
1912.04961,scientific,Recursive-256,26,6.538461538461538,0.3208415119040113,0.16725180240777823,0.46158522280858716,0.7644079235883859,0.623249389842509
1912.04961,scientific,Semantic-75,44,3.8636363636363638,0.6203205567911606,0.2761642607775601,0.5768912514030506,0.7177332483909347,0.589927556414132
1912.04961,scientific,RandomMatched,16,10.625,0.35178319946862757,0.170674417167902,0.4657994169948124,0.8024926371872425,0.6530681652473262
1912.04961,scientific,ShuffledNull,16,10.625,0.2282983928307658,0.1292352546006441,0.41753441939140223,0.6438593231141567,0.6762162415229213
1910.10781,scientific,GoldSection,13,10.923076923076923,0.2987855773848983,0.1428635578889113,0.44564127030906453,0.796892565030318,0.6154483853790265
1910.10781,scientific,Fixed-128,20,7.15,0.2883579528657719,0.14076349288225173,0.44161245055177256,0.7584924072027206,0.6001573618993549
1910.10781,scientific,Fixed-256,11,13.454545454545455,0.2871175734749572,0.10528530586849559,0.42776347847106355,0.8245715173808011,0.659130000570968
1910.10781,scientific,Fixed-512,6,25.333333333333332,0.25103267033894855,0.06895895799001057,0.4028436448511406,0.782378762960434,0.7460141917711035
1910.10781,scientific,Recursive-256,17,8.352941176470589,0.2969214226502706,0.1546854727408465,0.449780374067953,0.7832301679779502,0.601763743601917
1910.10781,scientific,Semantic-75,37,3.8378378378378377,0.5873030827984818,0.3001576476805919,0.5715860765149453,0.7085422003591383,0.5566593717426925
1910.10781,scientific,RandomMatched,13,10.923076923076923,0.28767746370263364,0.12521153688430786,0.4355593158463124,0.7806755075087914,0.6381811573507004
1910.10781,scientific,ShuffledNull,13,10.923076923076923,0.21757721544529957,0.12536258193162772,0.4148836916867122,0.5996163808382474,0.6551353746100712
1603.09631,scientific,GoldSection,17,7.705882352941177,0.36843731532366397,0.17275654568391688,0.4757640220720615,0.756314705399906,0.6256495070347341
